wavelength,dark_current
1079.66,1501.6
1080.15,1503.7
1080.65,1504
1081.14,1504.3
1081.64,1498.2
1082.13,1500.1
1082.62,1502.8
1083.12,1503.3
1083.61,1505.2
1084.11,1502.2
1084.6,1501.9
1085.1,1504.1
1085.59,1502.2
1086.08,1502.3
1086.58,1502.2
1087.07,1501.9
1087.57,1500.4
1088.06,1502.3
1088.56,1504.6
1089.05,1499.8
1089.55,1500.5
1090.04,1495.9
1090.54,1503.8
1091.03,1503.6
1091.52,1503.6
1092.02,1501
1092.51,1504.2
1093.01,1502.8
1093.5,1504.3
1094,1505.1
1094.49,1503.2
1094.99,1501.4
1095.48,1501.3
1095.98,1502.6
1096.47,1506.6
1096.97,1503
1097.47,1501.3
1097.96,1503.6
1098.46,1505.1
1098.95,1502.8
1099.45,1503.6
1099.94,1501.9
1100.44,1503
1100.93,1502.5
1101.43,1501.5
1101.92,1502.6
1102.42,1501.4
1102.91,1506
1103.41,1491.7
1103.91,1501.3
1104.4,1501.5
1104.9,1505.3
1105.39,1501.5
1105.89,1503
1106.38,1503.3
1106.88,1503.4
1107.38,1504.1
1107.87,1502.5
1108.37,1501.8
1108.86,1503.9
1109.36,1503.9
1109.86,1500.5
1110.35,1505
1110.85,1502.2
1111.35,1503.2
1111.84,1503.7
1112.34,1503.1
1112.83,1502.9
1113.33,1504.4
1113.83,1503.3
1114.32,1504.6
1114.82,1500.6
1115.32,1502.6
1115.81,1504.5
1116.31,1501.7
1116.81,1502.9
1117.3,1501
1117.8,1499.8
1118.3,1500.5
1118.79,1504.2
1119.29,1503.1
1119.79,1503.3
1120.28,1501.3
1120.78,1497.7
1121.28,1499.3
1121.77,1505.4
1122.27,1502.6
1122.77,1502.1
